timestamp,agent,market,predicted,actual,current_price,squared_error,naive_se,direction_correct,methodology_version,horizon
1774754210.0,naive_baseline,regime_fall,0.195,0.185,0.195,0.0001,0.0001,False,N/A,24h
1774763481.0,historian,regime_fall,0.191081,0.185,0.185,3.698e-05,0.0,False,1.9.0,24h
1774763481.0,naive_baseline,regime_fall,0.185,0.185,0.185,0.0,0.0,False,N/A,24h
1774774536.0,historian,regime_fall,0.195307,0.185,0.185,0.00010623,0.0,False,1.10.0,24h
1774774536.0,naive_baseline,regime_fall,0.185,0.185,0.185,0.0,0.0,False,N/A,24h
1774790776.0,historian,regime_fall,0.203589,0.165,0.195,0.00148911,0.0009,False,1.10.0,24h
1774790776.0,naive_baseline,regime_fall,0.195,0.165,0.195,0.0009,0.0009,False,N/A,24h
1774802912.0,historian,regime_fall,0.203785,0.165,0.195,0.00150428,0.0009,False,1.10.0,24h
1774802912.0,naive_baseline,regime_fall,0.195,0.165,0.195,0.0009,0.0009,False,N/A,24h
1774817162.0,historian,regime_fall,0.195214,0.165,0.195,0.00091289,0.0009,False,1.10.0,24h
1774817162.0,naive_baseline,regime_fall,0.195,0.165,0.195,0.0009,0.0009,False,N/A,24h
1774840661.0,historian,regime_fall,0.186803,0.165,0.185,0.00047537,0.0004,False,1.10.0,24h
1774840661.0,naive_baseline,regime_fall,0.185,0.165,0.185,0.0004,0.0004,False,N/A,24h
1774851107.0,historian,regime_fall,0.193494,0.165,0.185,0.00081191,0.0004,False,1.10.0,24h
1774851107.0,naive_baseline,regime_fall,0.185,0.165,0.185,0.0004,0.0004,False,N/A,24h
1774862789.0,historian,regime_fall,0.186177,0.165,0.185,0.00044847,0.0004,False,1.11.0,24h
1774862789.0,naive_baseline,regime_fall,0.185,0.165,0.185,0.0004,0.0004,False,N/A,24h
1774879449.0,historian,regime_fall,0.169788,0.165,0.165,2.292e-05,0.0,False,1.11.0,24h
1774879449.0,naive_baseline,regime_fall,0.165,0.165,0.165,0.0,0.0,False,N/A,24h
1774890624.0,historian,regime_fall,0.169996,0.145,0.165,0.0006248,0.0004,False,1.11.0,24h
1774890624.0,naive_baseline,regime_fall,0.165,0.145,0.165,0.0004,0.0004,False,N/A,24h
