timestamp,regime_fall
1770674411,0.195
1770681612,0.195
1770688825,0.195
1770696012,0.195
1770703211,0.195
1770710411,0.195
1770717611,0.195
1770724811,0.195
1770732011,0.195
1770739211,0.195
1770746412,0.195
1770753611,0.195
1770760811,0.195
1770768011,0.21
1770775212,0.205
1770782411,0.205
1770789611,0.205
1770796811,0.205
1770804011,0.205
1770811211,0.205
1770818411,0.205
1770825611,0.205
1770832811,0.205
1770840014,0.205
1770847212,0.205
1770854425,0.195
1770861616,0.19
1770868812,0.19
1770876013,0.19
1770883213,0.195
1770890418,0.185
1770897611,0.185
1770904813,0.185
1770912012,0.185
1770919213,0.185
1770926413,0.18
1770933611,0.175
1770940812,0.175
1770948013,0.175
1770955212,0.175
1770962411,0.175
1770969611,0.175
1770976812,0.175
1770984011,0.16
1770991212,0.165
1770998413,0.165
1771005612,0.165
1771012812,0.175
1771020012,0.19
1771027214,0.19
1771034416,0.185
1771041613,0.185
1771048812,0.19
1771056012,0.175
1771063212,0.185
1771070412,0.18
1771077612,0.17
1771084813,0.18
1771092013,0.195
1771106416,0.195
1771113613,0.2
1771120813,0.195
1771128011,0.195
1771135212,0.195
1771142413,0.195
1771149612,0.195
1771156812,0.195
1771164012,0.195
1771171214,0.195
1771178416,0.2
1771185614,0.195
1771192812,0.195
1771200023,0.205
1771207212,0.205
1771214412,0.205
1771221613,0.205
1771228813,0.205
1771236013,0.205
1771243218,0.205
1771250413,0.205
1771257614,0.195
1771264814,0.2
1771272014,0.185
1771279214,0.195
1771286413,0.195
1771293613,0.2
1771300815,0.2
1771308013,0.195
1771315213,0.195
1771322415,0.195
1771329615,0.195
1771336813,0.195
1771344014,0.2
1771351226,0.195
1771358414,0.2
1771365614,0.2
1771372814,0.225
1771380013,0.225
1771387213,0.225
1771394414,0.23
1771401613,0.225
1771408813,0.25
1771416014,0.255
1771423215,0.25
1771430414,0.265
1771437615,0.265
1771444819,0.26
1771452015,0.29
1771459213,0.27
1771466415,0.27
1771473614,0.28
1771480813,0.28
1771488013,0.265
1771495215,0.27
1771502414,0.265
1771509615,0.27
1771516815,0.275
1771524017,0.285
1771531214,0.285
1771538415,0.285
1771545616,0.285
1771552815,0.28
1771560014,0.28
1771567214,0.275
1771574414,0.275
1771581614,0.275
1771588814,0.265
1771596013,0.245
1771603216,0.235
1771610414,0.235
1771617615,0.23
1771624815,0.235
1771632015,0.235
1771639214,0.235
1771646422,0.245
1771653614,0.225
1771660814,0.225
1771668016,0.225
1771675216,0.235
1771682415,0.235
1771689615,0.235
1771696815,0.235
1771704016,0.235
1771711215,0.235
1771718416,0.235
1771725616,0.235
1771732814,0.245
1771740014,0.245
1771747217,0.235
1771754415,0.235
1771761614,0.235
1771768816,0.235
1771776017,0.235
1771783216,0.235
1771790416,0.235
1771797615,0.235
1771804814,0.235
1771812015,0.235
1771819214,0.235
1771826414,0.23
1771833629,0.235
1771840813,0.235
1771848014,0.23
1771855213,0.225
1771862414,0.225
1771869629,0.235
1771876814,0.235
1771884014,0.255
1771891214,0.25
1771898415,0.255
1771905615,0.245
1771912815,0.245
1771920015,0.245
1771927215,0.245
1771934415,0.245
1771941615,0.245
1771948815,0.245
1771956018,0.245
1771963215,0.235
1771970430,0.235
1771977615,0.235
1771984831,0.235
1771992030,0.245
1771999215,0.235
1772006416,0.23
1772013615,0.22
1772020821,0.215
1772028017,0.215
1772035215,0.215
1772042416,0.215
1772049614,0.215
1772056817,0.215
1772064015,0.215
1772071217,0.225
1772078427,0.225
1772085617,0.235
1772092816,0.235
1772100017,0.235
1772107217,0.225
1772114420,0.225
1772121635,0.235
1772128820,0.235
1772136019,0.235
1772143218,0.235
1772150418,0.235
1772157618,0.235
1772164819,0.235
1772172018,0.22
1772179218,0.215
1772186419,0.225
1772193631,0.235
1772200819,0.265
1772208031,0.255
1772215226,0.255
1772222419,0.26
1772229621,0.285
1772236822,0.285
1772244025,0.285
1772251222,0.285
1772258425,0.25
1772265631,0.395
1772272825,0.405
1772280042,0.445
